Name,Rating,Location,Number,Lattitude,Longuitude
TheGlassOnion,4.2,"TheGlassOnion,NexttoInfosys,BoulderHillsMadhavaReddyColonyOppISB,Gachibowli,Hyderabad,Telangana50003,Hyderabad,Telangana500032",09121239551,17.4364065,78.3565306
Udipi'sUpahar,4.1,"2-21/4,GroundFloor,KanhaiyalalComplex,GachibowliRd,nearSriSaiCyberCafe,IndiraNagar,Gachibowli,Hyderabad,Telangana500032",07093601421,17.4364065,78.3565306
BeyondFlavours,4.0,"1stFloor,FantasySquareBuilding,133,OldMumbaiHwy,oppositeNissanShowroom,JayabheriPineValley,Gachibowli,Hyderabad,Telangana500032",08988666617,17.4364065,78.3565306
PakkaLocalGachibowli,4.2,"HPPetrolPump,RajivgandhiNagar,Gachibowli,Serilingampalle(M),Hyderabad,Telangana500032",09316484950,17.4364065,78.3565306
"HoyPunjab,Hyderabad",4.8,"FirstFloor,C9FJ+G2HGSquare,MadhuraNagarColony,Gachibowli,Hyderabad,Telangana500032",08885184852,17.4364065,78.3565306
ArabianCornerRestaurant-Skylounge,4.1,"2-48/6,SriShyamNagar,TelecomNagarExtension,Gachibowli,Hyderabad,Telangana500032",09885196008,17.4364065,78.3565306
ChakDeRestaurant,3.6,"PlotNo:25,17,OldMumbaiHwy,RahmatGulshanColony,PJanardhanReddyNagar,Gachibowli,Hyderabad,Telangana500032",09951139939,17.4364065,78.3565306
GalPunjabDi,4.0,"plot82,neardominospizza,VinayakNagar,IndiraNagar,Gachibowli,Hyderabad,Telangana500032",09912191007,17.4364065,78.3565306
TossinPizzaGachibowli|BestPizzaRestaurantinHyderabad,4.4,"GroundFloor,AyyappaHeightsPlotNumber33AHIGRoadNumber2,opp.DLF,APHBColony,Gachibowli,Hyderabad,Telangana500032",07730034455,17.4364065,78.3565306
Sardarji'sTraditionalPunjabiPalate,3.9,"76,OldMumbaiHwy,VinayakNagar,IndiraNagar,Gachibowli,Hyderabad,Telangana500032",09642357335,17.4364065,78.3565306
NaiduGariKundaBiryani-Gachibowli,4.5,"26P,3rdFloor,GachibowliCentral,PlotNo.141,VinayakNagar,IndiraNagar,Gachibowli,Hyderabad,Telangana500032",09426233939,17.4364065,78.3565306
CabritoAlMataam,,"1stFloor,CityPearl,PlotNo.80,oppositeKindleClinics,besideHDFCBank,VinayakNagar,IndiraNagar,Gachibowli,Landmarks:,Hyderabad,Telangana500032",09849000751,17.4364065,78.3565306
FriendsFoods-TasteofTamilNadu,4.2,"MIG-HA-42,APHBColony,JayabheriEnclave,Gachibowli,Hyderabad,Telangana500032",,17.4364065,78.3565306
BonaluMulticuisineRestaurant,4.6,"2-85/7/2,Gachibowli-MiyapurRd,ORRJunction,PJanardhanReddyNagar,Gachibowli,Hyderabad,Telangana500032",09348880888,17.4364065,78.3565306
MehfilTakeAway,3.5,"3rdfloor,139,GachibowliRd,VinayakNagar,IndiraNagar,Gachibowli,Hyderabad,Telangana500032",07396591228,17.4364065,78.3565306
"ASF-AncientStoneFlamesBBQ&Grill|Gachibowli,Hyderabad",4.6,"1stFloor,TimesSquare,VinayakNagar,IndiraNagar,Gachibowli,Serilingampalle(M),Hyderabad,Telangana500032",08881886878,17.4429996,78.3357458
TheNawaab'sRestaurant,4.2,"3/136,BanjaraBasthi,AnjaiahNagar,Gachibowli,Hyderabad,Telangana500032",08179644836,17.4429996,78.3357458
TrisandyaFoodCourt(TFC),4.9,"GroundFloor,HouseNo:,2-85/7/3/1,Gachibowli-MiyapurRd,RajivgandhiNagar,Gachibowli,Hyderabad,Telangana500032",09348880888,17.4429996,78.3357458
IshtaMeals&Restaurant,4.1,"1-73/D/78,OldMumbaiHwy,JanardanaHills,AdjacentlanetoSouthIndiaShoppingMall,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500032",09573762598,17.4429996,78.3357458
CafeEclat,4.1,"GachibowliFlyover,DiamondHills,RajivgandhiNagar,Gachibowli,Hyderabad,Telangana500032",08008214444,17.4429996,78.3357458
