Name,Rating,Location,Number,Lattitude,Longuitude
DineoChinagachibowlibranch.,4.0,"1stFloor,VaishnaviCynosure,Manda,GachibowliRd,aboveRelianceFresh,PJanardhanReddyNagar,Gachibowli,Serilingampalle(M),Hyderabad,Telangana500032",07207912222,17.4377939,78.3617335
PRASADKITCHEN,4.4,"62,HitechCityMainRd,DiamondHills,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500081",,17.4377939,78.3617335
SOUL-FrenchFineDine,4.5,"4thFloor,PurpleSeagull,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500081",09867510004,17.4377939,78.3617335
Ishtaa,4.3,"NCCURBANGARDENIA,HitechCityMainRd,LumbiniAve,DiamondHills,HITECCity,Hyderabad,Telangana500081",09505952345,17.4377939,78.3617335
ArabianCornerRestaurant-Skylounge,4.1,"2-48/6,SriShyamNagar,TelecomNagarExtension,Gachibowli,Hyderabad,Telangana500032",09885196008,17.4377939,78.3617335
Greens&More,4.5,"UGfloor,Skyview10,SilpaGramCraftVillage,HITECCity,Hyderabad,Telangana500019",08008048670,17.4377939,78.3617335
PistaHouse,4.3,"TelecomNagarExtension,OldMumbaiHwy,TelecomNagar,Gachibowli,Hyderabad,Telangana500032",09700161213,17.4377939,78.3617335
9GrillRestaurant&Bar,3.9,"62,HitechCityMainRd,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500081",,17.4377939,78.3617335
RepublicofNoodles,4.3,"Level2,Lemontreepremiere,M,PHASE,Phase2,Madhapur,Hyderabad,Telangana500081",04044212120,17.4377939,78.3617335
PakkaLocalHitechCity,4.6,"HardhikCrownBuilding,Plot18,Sector2,HUDATechnoEnclave,HITECCity,Hyderabad,Telangana500081",09885868886,17.4377939,78.3617335
KritungaRestaurantBiodiversity,3.7,"Plotno69&70,oppositeSilpaGramCraftVillageTheSkyView20,nearbiodiversity,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500032",09059051555,17.4377939,78.3617335
IshtaMeals&Restaurant,4.1,"1-73/D/78,OldMumbaiHwy,JanardanaHills,AdjacentlanetoSouthIndiaShoppingMall,LumbiniAvenue,Gachibowli,Hyderabad,Telangana500032",09573762598,17.4377939,78.3617335
13Dhaba,,"1-72/3A,AndhraBankLane,Gachibowli,nearHPPetrolPump,Hyderabad,Telangana500032",09573259915,17.4377939,78.3617335
ShivaniTheRestaurant|BanquetHall,,"1-73,MainRoad,TelecomNagar,,OppCyberabadPoliceCommissionerateOffice,Gachibowli,Hyderabad,Telangana500081",08008923555,17.4377939,78.3617335
BeyondFlavours,4.0,"1stFloor,FantasySquareBuilding,133,OldMumbaiHwy,oppositeNissanShowroom,JayabheriPineValley,Gachibowli,Hyderabad,Telangana500032",08988666617,17.4377939,78.3617335
BiryanisAndMore-Gachibowli,3.8,"NearBiodiversityJunctionFantasyBuildingPlots#1&2,GachibowliRd,oppositeNissanShowroom,Gachibowli,Hyderabad,Telangana500032",09347442222,17.4377939,78.3617335
KadapaDosaHouse,3.9,"ShopNo.2-48/P/21,ProfCRRoad,SriShyamNagar,TelecomNagar,Gachibowli,Hyderabad,Telangana500032",09000007505,17.4377939,78.3617335
SRINIDHIRESTUARANT,4.3,"BesideIDFCFirstBank,SBRGateWay,opp.Cybergateway,HITECCity,Hyderabad,Telangana500081",,17.4377939,78.3617335
"PizzaHut|RMZHitechCityMainRdMadhapur,Hyderabad",4.5,"No83,No10,1stFloor,TheSkyviewSy,1,HitechCityMainRd,RaiDurg,Telangana500081",09899562102,17.4377939,78.3617335
AlaDakshinapuramlo,4.5,"A,3rdFloor,PhoenixTower,HitechCityMainRd,oppositeTridentHotel,PatrikaNagar,HITECCity,Hyderabad,Telangana500081",09769405555,17.4377939,78.3617335

